[2024-08-03 02:20:33,448: INFO: main: Welcome to our custom log ]
[2024-08-03 12:57:26,870: INFO: main: >>>Data Ingestion stage started <<<]
[2024-08-03 12:57:26,876: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 12:57:26,880: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 12:57:26,882: INFO: common: created directory at: artifacts]
[2024-08-03 12:57:26,883: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-03 12:57:26,883: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-03 12:57:44,553: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-03 12:57:45,113: INFO: main:  >>> stage Data Ingestion stage completed <<<]
[2024-08-03 13:18:52,127: INFO: main: >>>Data Ingestion stage started <<<]
[2024-08-03 13:18:52,133: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-03 13:18:52,134: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-03 13:18:52,136: INFO: common: created directory at: artifacts]
[2024-08-03 13:18:52,137: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-03 13:18:52,137: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-03 13:19:10,362: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-03 13:19:10,844: INFO: main:  >>> stage Data Ingestion stage completed <<<]
